OCM_ID,Operator,OperatorWebsite,UsageType,Status,IsOperational,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,Title,NumberOfPoints,ConnectorTypes,MaxPowerKW,AllConnectorPowersKW,ConnectionStatuses,DataProvider,DateLastStatusUpdate,DateLastVerified,SubmissionStatus
127806,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Carlisle Street,,Westminster,London,W1D 3BX,GB,51.515133,-0.132938,Carlisle Street,2.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2023-04-03T16:59:00Z,2023-04-03T16:59:00Z,Submission Published
4420,(Unknown Operator),,,Operational,True,Dufours Place,Westminster,London,,W1F 7SJ,GB,51.513645,-0.137168,Broadwick Road Carpark,,,,,,Open Charge Map Contributors,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published
460394,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public,Operational,True,20 Soho Square,,,,,GB,51.515559717462054,-0.13189368249868494,20 Soho Square,1.0,Type 2 (Socket Only),4.0,4,Operational,Open Charge Map Contributors,2025-08-15T14:39:00Z,2025-08-15T14:39:00Z,Submission Published
52879,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,3-9 Old Burlington Street,City of Westminster,London,,W1S 3AF,GB,51.510632,-0.14051870000003,Q-Park Burlington Street,4.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Open Charge Map Contributors,2023-04-03T16:58:00Z,2023-04-03T16:58:00Z,Submission Published
101372,Charge Your Car,http://www.chargeyourcar.org.uk/,Public - Membership Required,Operational,True,Concert Hall Approach,,South Bank,London,SE1 8XU,GB,51.50463,-0.11455,Concert Hall Approach,1.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2018-10-30T13:03:00Z,2018-10-30T13:03:00Z,Submission Published
53024,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Poland Street,City of Westminster,London,,W1F 7NQ,GB,51.514198,-0.136689,Q-Park Soho,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only); CHAdeMO; CCS (Type 2); Type 2 (Tethered Connector) ,50.0,3; 43; 50; 7,Operational,Open Charge Map Contributors,2023-04-03T16:57:00Z,2023-04-03T16:57:00Z,Submission Published
16030,Zero Carbon World,http://zerocarbonworld.org/,"Private - For Staff, Visitors or Customers",Operational,True,200 Westminster Bridge Rd,,,London,SE1 7UT,GB,51.5014098,-0.117240600000059,Park Plaza Westminster Bridge Hotel ,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Open Charge Map Contributors,2018-12-17T10:39:00Z,2018-12-17T10:39:00Z,Submission Published
253751,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Opp.,,London,,W1D 3QH,GB,51.516,-0.13187,Opp.,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
253772,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,,,103 New Oxford Street,,London,,WC1A 1DD,GB,51.516312,-0.129476,Almacantar,,Type 2 (Socket Only); Type 2 (Socket Only),22.0,22; 7,Operational,UK National Charge Point Registry,2023-05-04T08:45:00Z,2023-05-04T08:45:00Z,Imported and Published
173461,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public,,,20 Great Queen Street,,London,,WC2B 5AZ,GB,51.515614,-0.120802,20 Great Queen Street,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2025-06-14T18:32:00Z,2025-06-14T18:32:00Z,Imported and Published
4400,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Albemarle Street,Westminster,London,,W1S 4BS,GB,51.5096839873231,-0.142478942871094,Albemarle Street,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Open Charge Map Contributors,2023-04-03T16:59:00Z,2023-04-03T16:59:00Z,Submission Published
458973,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public,Operational,True,4 Arundel Street,,London,England,,GB,51.51232110346069,-0.11432518712229012,4 Arundel Street,1.0,Type 2 (Socket Only),5.0,5,Operational,Open Charge Map Contributors,2025-06-29T03:04:00Z,2025-06-29T03:04:00Z,Submission Published
252974,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,,,Great College Street,,London,,SW1P 3RX,GB,51.4977,-0.126443,Q-Park Westminster,,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),22.0,22; 3,Operational,UK National Charge Point Registry,2023-05-04T08:43:00Z,2023-05-04T08:43:00Z,Imported and Published
57086,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Membership Required,Operational,True,Sardinia Street,London Borough of Camden,London,England,WC2B 6TE,GB,51.5151901467396,-0.118159841802967,Sardinia Street,1.0,Type 2 (Socket Only); Type 1 (J1772),7.0,4; 7,Operational,Open Charge Map Contributors,2024-12-15T14:19:00Z,2024-12-15T14:19:00Z,Submission Published
52878,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Great College Street,City of Westminster,London,,SW1P 3RX,GB,51.4975281,-0.127408500000001,Q-Park Westminster,6.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Open Charge Map Contributors,2023-04-03T16:58:00Z,2023-04-03T16:58:00Z,Submission Published
4376,(Unknown Operator),,,Operational,True,Great College Street,Westminster,London,,SW1P 3RX,GB,51.497528,-0.127409,Masterpark Abingdon Car Park,,,,,,Open Charge Map Contributors,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published
4390,POD Point (UK),http://www.pod-point.com/,Public - Membership Required,Operational,True,Waterloo,Lambeth,London,,SE1 9PP,GB,51.5068393098305,-0.111933946609497,76 Upper Ground,2.0,Type 2 (Socket Only); Type 2 (Socket Only); Type 2 (Socket Only),22.0,22; 7,Operational,Open Charge Map Contributors,2024-08-24T05:34:00Z,2024-08-24T05:34:00Z,Submission Published
19465,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Membership Required,Operational,True,Temple Place,Westminster,London,,WC2R 2PG,GB,51.5116935,-0.113055249442683,Temple Place,5.0,Type 2 (Socket Only); Type 1 (J1772); BS1363 3 Pin 13 Amp,7.0,3; 4; 7,Operational,Open Charge Map Contributors,2019-05-12T05:32:00Z,2019-05-12T05:32:00Z,Submission Published
253491,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,null,,London,,W1J 8NR,GB,51.50908,-0.143872,Shell Recharge/Ubitricity,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
253042,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,22 Caxton Street,,London,,SW1H 0QU,GB,51.498522,-0.13584,22 Caxton Street,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:45:00Z,2023-05-04T09:45:00Z,Imported and Published
136293,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Adeline Pl 15,,London,,WC1B 3AJ,GB,51.517603,-0.129837,Adeline Pl 15,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-05T04:00:00Z,2023-05-05T04:00:00Z,Imported and Published
253548,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Membership Required,,,Temple Place site 2,,Westminster,,WC2R 2PG,GB,51.511407,-0.112471,Temple Place site 2,,Type 1 (J1772); Type 2 (Socket Only),7.0,3; 7,Operational,UK National Charge Point Registry,2023-03-08T04:20:00Z,2023-03-08T04:20:00Z,Imported and Published
253603,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Opp.,,London,,W1S 2AT,GB,51.512568,-0.142311,Opp.,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
136295,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Adeline Pl 12,,London,,WC1B 3AJ,GB,51.517782,-0.130023,Adeline Pl 12,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-05T04:00:00Z,2023-05-05T04:00:00Z,Imported and Published
252927,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,27 Great Peter Street,,London,,SW1P 3LN,GB,51.496896,-0.127436,27 Great Peter Street,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:45:00Z,2023-05-04T09:45:00Z,Imported and Published
43412,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Membership Required,Operational,True,Lincolns Inn Fields,Westminster,London,,WC2A 3PE,GB,51.5152860135492,-0.116643905639648,"Lincolns Inn Fields, Westminster",5.0,Type 2 (Socket Only); Type 1 (J1772),7.0,4; 7,Operational,Open Charge Map Contributors,2020-01-10T09:49:00Z,2020-01-10T09:49:00Z,Submission Published
252924,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Great Peter St 31,,London,,SW1P 3NQ,GB,51.496887,-0.127973,Great Peter St 31,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-05T04:00:00Z,2023-05-05T04:00:00Z,Imported and Published
252926,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Great Peter St 41,,London,,SW1P 3LT,GB,51.496895,-0.128714,Great Peter St 41,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-05T04:00:00Z,2023-05-05T04:00:00Z,Imported and Published
126177,POD Point (UK),http://www.pod-point.com/,Public - Membership Required,Operational,True,Lincoln's Inn Fields,,Westminster,London,WC2A 3PE,GB,51.515375,-0.116745,Westminster-Lincoln's Inn Fields,2.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2025-03-05T16:42:00Z,2025-03-05T16:42:00Z,Submission Published
268058,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public,,,Stephens Street,,Camden Town,,W1T 1AL,GB,51.517475,-0.133047,Stephens Street,,Type 2 (Socket Only),22.0,22,Operational,UK National Charge Point Registry,2025-05-01T00:28:00Z,2025-05-01T00:28:00Z,Imported and Published
252921,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Great Peter St 16,,London,,SW1P 2BX,GB,51.496866,-0.129591,Great Peter St 16,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-05T04:00:00Z,2023-05-05T04:00:00Z,Imported and Published
118286,Charge Your Car,http://www.chargeyourcar.org.uk/,Public - Membership Required,Operational,True,Cornwall Road,,Lambeth,Greater London,SE1 9PU,GB,51.50542,-0.11099,"Cornwall Road, Lambeth",2.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2019-03-22T06:19:00Z,2019-03-22T06:19:00Z,Submission Published
205270,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Pay At Location,Operational,True,Adeline Place,,London,England,WC1B 3AH,GB,51.51798,-0.130288,Adeline Place,2.0,Type 2 (Socket Only); Type 2 (Socket Only),22.0,22,Operational,Open Charge Map Contributors,2025-05-01T00:36:00Z,2025-05-01T00:36:00Z,Submission Published
53025,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Berkeley Square,City of Westminster,London,,W1J 6EG,GB,51.509495,-0.144767,Berkeley Square,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only); Type 2 (Socket Only),7.0,3; 4; 7,Operational; Unknown,Open Charge Map Contributors,2023-04-03T16:57:00Z,2023-04-03T16:57:00Z,Submission Published
173459,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public,,,24 Little Russell Street,,London,,WC1A 2HS,GB,51.518054,-0.12494,24 Little Russell Street,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
125894,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Berkeley Square,,Westminster,,W1J 6ES,GB,51.509472,-0.14487,Berkeley Square,1.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2023-04-03T17:00:00Z,2023-04-03T17:00:00Z,Submission Published
5835,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Membership Required,Unknown,,Museum Street,,Camden,London,WC1A 1JP,GB,51.5181387,-0.1255737,Holborn NCP Car Park,4.0,BS1363 3 Pin 13 Amp,3.0,3,Operational,Open Charge Map Contributors,2016-11-03T10:28:00Z,2016-11-03T10:28:00Z,Submission Published
