operator,status,is_operational,latitude,longitude,num_points,connector_types,max_power_kw,borough,borough_density_km2,uk_avg_util_pct,uk_avg_energy_kWh,priority_score,stations_per_borough,operational_flag,usage_Private - Restricted Access,usage_Privately Owned - Notice Required,usage_Public,usage_Public - Membership Required,usage_Public - Pay At Location,avg_power_per_connector,has_fast_charger,cluster
Shell Recharge Solutions (Uk),Not Operational,False,51.512844,-0.143349,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.496731,-0.132808,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.517947,-0.121831,1.0,Type 2 (Socket Only),3.7,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,177,0,False,False,True,False,False,3.7,0,1
Total Energies (Uk),Operational,True,51.5098719676356,-0.1453217303424026,2.0,Type 2 (Socket Only),22.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1479227391285013,476,1,False,False,True,False,False,22.0,1,3
Bp Pulse (Uk),Operational,True,51.517235,-0.136815,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Pod Point (Uk),Operational,True,51.500361,-0.113099,1.0,Type 2 (Socket Only),7.0,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,7950,1,False,False,False,False,False,7.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.496,-0.13085,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.508257,-0.146484,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.514586,-0.142564,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.511441,-0.145558,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
